Mean,Median,Variance,Standard Deviation,SEM
40.67574114099999,41.557808879999996,24.947764120254842,4.994773680584021,0.3293456234008309
52.59117180960673,51.77615728000001,39.29017727327858,6.268187718414198,0.4698205327526109
52.8847951085955,51.82058438,43.12868412883607,6.567243267066941,0.49223569380113835
55.23563764047871,53.698742644999996,68.55357711244602,8.27970875770676,0.6038598237739699
54.331564658333306,52.509284609999995,66.17347898736509,8.13470829147334,0.5964657512424236
54.033580786353625,52.28893409,61.16808293669703,7.821002681031188,0.5813305510593876
52.320929859999985,50.446266345,43.85201301302044,6.6220852465836195,0.5443320541940472
40.21674506671053,40.67323554,23.486703952095272,4.846308280753018,0.32095460650848173
54.233149119889475,52.43173664,59.450561673365975,7.7104190335782645,0.5731109332771458
53.23650655159339,51.818479325,48.533355389386095,6.966588504381904,0.5163978968332169
